to enter	入る (はいる), G1
入る (はいる), G1	to enter
to leave, to exit	出る (でる), G2
出る (でる), G2	to leave, to exit
to push	おす, G1
おす, G1	to push
to put, to leave sth	置く(おく), G1
置く(おく), G1	to put, to leave sth
to worry	心配する (しんぱいする), G3
心配する (しんぱいする), G3	to worry
to lose (sth, someone), to get rid of	無くす・亡くす・失くす (なくす), G1
無くす・亡くす・失くす (なくす), G1	to lose (sth, someone), to get rid of
dangerous, watch out!	危ない (あぶない)
危ない (あぶない)	dangerous, watch out!
to borrow, to rent	借りる (かりる), G2
借りる (かりる), G2	to borrow, to rent
to wait	待つ (まつ), G1
待つ (まつ), G1	to wait
to put in, to accept	入れる (いれる), G2
入れる (いれる), G2	to put in, to accept
music, musician	音楽 (おん​がく), 音楽家 (おんがくか)
音楽 (おんがく), 音楽家 (おんがくか)	music, musician
to return sth	返す (かえす), G1
返す (かえす), G1	to return sth
to go out	出かける (でかける), G2
出かける (でかける), G2	to go out
medicine, drug	薬 (くすり)
薬 (くすり)	medicine, drug
to take off (clothes)	脱ぐ (ぬぐ), G1
脱ぐ (ぬぐ), G1	to take off (clothes)
problem, question	問題 (もんだい)
問題 (もんだい)	problem, question
errand, business	用事 (ようじ)
用事 (ようじ)	errand, business
sickness, ill, sick	病気 (びょうき)
病気 (びょうき)	sickness, ill, sick
fever, temperature	熱 (ねつ)
熱 (ねつ)	fever, temperature
life	命 (いのち)
命 (いのち)	life
yokai, supernatural being, monster, ghost	妖怪 (ようかい)
妖怪 (ようかい)	yokai, supernatural being, monster, ghost
human being, man, person	人間 (にんげん)
人間 (にんげん)	human being, man, person
to pay	払う(はらう), G1
払う(はらう), G1	to pay
business trip	出張 (しゅっちょう)
出張 (しゅっちょう)	business trip
doing overtime work	残業 (ざんぎょう)
残業 (ざんぎょう)	doing overtime work
luggage	荷物 (にもつ)
荷物 (にもつ)	luggage
pencil	鉛筆 (えんぴつ)
鉛筆 (えんぴつ)	pencil
promise, arrangement	約束 (やくそく)
約束 (やくそく)	promise, arrangement
remember, recall	思い出す (おもいだす)
思い出す (おもいだす)	remember, recall
to hold, to carry something, to possess	持つ (もつ)
持つ (もつ)	to hold, to carry something, to possess
to know	知る (しる)
知る (しる)	to know
to resign	辞める (やめる), G2
辞める (やめる), G2	to resign
entirely	全部 (ぜんぶ)
全部 (ぜんぶ)	entirely
to live in, to inhabit	住む (すむ)
住む (すむ)	to live in, to inhabit
straight, direct, right	真っ直ぐ (まっすぐ)
真っ直ぐ (まっすぐ)	straight, direct, right
document	資料 (しりょう)
資料 (しりょう)	document
to forget	忘れる (わすれる), G2
忘れる (わすれる), G2	to forget
What happened?	どうしましたか？
どうしましたか？	What happened?
Take care (of yourself)!	お大事に! (おだいじに!)
お大事に! (おだいじに!)	Take care (of yourself)!
to be able to, to be ready	出来る (できる)
出来る (できる)	to be able to, to be ready
(abstract) thing, matter	事 (こと)
事 (こと)	(abstract) thing, matter
to drive a car	運転する (うんてんする)
運転する (うんてんする)	to drive a car
to sing	歌う (うたう), G1
歌う (うたう), G1	to sing
to play a musical instrument	弾く (ひく), G1
弾く (ひく), G1	to play a musical instrument
to throw away	捨てる (すてる), G2
捨てる (すてる), G2	to throw away
reservation, booking, appointment	予約 (よやく)
予約 (よやく)	reservation, booking, appointment
番号 (ばんごう)	telephone number
telephone number	番号 (ばんごう)
お祈り (おいのり)	prayer
prayer	お祈り (おいのり)
現金 (げんきん)	cash
cash	現金 (げんきん)
動物 (どうぶつ)	animal
animal	動物 (どうぶつ)
馬 (うま)	horse
horse	馬 (うま)
特に (とくに)	especially
especially	特に (とくに)
確認 (かくにん)	confirmation
confirmation	確認 (かくにん)
集める (あつめる), G2	to collect
to collect	集める (あつめる), G2
泊まる (とまる), G1	to stay (e.g. in a hotel)
to stay (e.g. in a hotel)	泊まる (とまる), G1
掃除する (そうじする), G3	to clean, to tidy up
to clean, to tidy up	掃除する (そうじする), G3
乗る (のる), G1	to get on/ride (e.g. a bug, a train, a bicycle)
to get on/ride (e.g. a bug, a train, a bicycle)	乗る (のる), G1
早く (はやく)	early, quickly, soon
early, quickly, soon	早く (はやく)
